City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Kaitangata,NZ,-46.2817,169.8464,57.9,53,45,1.03,scattered clouds
81,Beisfjord,NO,68.3751,17.5988,15.85,80,5,8.72,clear sky
82,Vaini,TO,-21.2,-175.2,84.36,84,75,8.05,light rain
83,Grand Gaube,MU,-20.0064,57.6608,73.8,70,8,8.63,clear sky
84,Almaznyy,RU,48.0448,40.045,39.34,87,86,9.01,overcast clouds
85,Vilyuysk,RU,63.7553,121.6247,-3.46,93,98,9.44,overcast clouds
86,Chuy,UY,-33.6971,-53.4616,67.73,84,61,9.19,broken clouds
87,Beloha,MG,-25.1667,45.05,60.96,64,0,9.1,clear sky
88,Shimoda,JP,34.6667,138.95,49.03,52,30,5.48,scattered clouds
89,Oranjemund,NA,-28.55,16.4333,62.29,87,5,6.62,clear sky
90,Butaritari,KI,3.0707,172.7902,82.06,74,30,20.36,scattered clouds
91,Margasari,ID,-7.1,109.0167,75.85,89,100,3.85,overcast clouds
92,Lima,PE,-12.0432,-77.0282,66.45,73,75,16.11,broken clouds
93,Urumqi,CN,43.801,87.6005,14.95,67,0,8.95,clear sky
94,Coro,VE,11.4045,-69.6734,80.78,79,61,15.37,broken clouds
95,Abeche,TD,13.8292,20.8324,72.41,13,0,11.14,clear sky
96,Tasiilaq,GL,65.6145,-37.6368,28.56,85,100,11.81,overcast clouds
97,Kruisfontein,ZA,-34.0033,24.7314,59.4,77,46,4.63,scattered clouds
98,Omsukchan,RU,62.5333,155.8,-20.0,97,22,3.71,few clouds
99,Mastung,PK,29.7994,66.845,42.26,34,0,0.43,clear sky
100,Upernavik,GL,72.7868,-56.1549,7.52,98,86,6.62,overcast clouds
101,Provideniya,RU,64.3833,-173.3,-5.33,84,10,5.86,clear sky
102,Piskivka,UA,50.6938,29.6193,35.92,90,15,4.83,few clouds
103,Anchorage,US,61.2181,-149.9003,5.04,76,1,3.44,clear sky
104,Kodiak,US,57.79,-152.4072,17.11,53,1,19.57,clear sky
105,La Vega,DO,19.2221,-70.5296,79.65,79,67,4.03,broken clouds
106,Mchinji,MW,-13.7984,32.8802,61.97,81,14,3.22,few clouds
107,Kovdor,RU,67.5662,30.4758,-5.13,100,41,2.91,scattered clouds
108,Geraldton,AU,-28.7667,114.6,63.01,59,1,5.75,clear sky
109,Crotone,IT,39.0851,17.1178,53.69,74,0,16.87,clear sky
110,Klyavlino,RU,54.2649,52.0267,10.24,88,12,7.11,few clouds
111,Castro,BR,-24.7911,-50.0119,69.28,65,6,2.04,clear sky
112,Znamenskoye,RU,57.1281,73.8282,26.94,91,98,11.12,overcast clouds
113,Biharamulo,TZ,-2.6319,31.3089,62.69,86,87,1.7,overcast clouds
114,Praia,CV,14.9215,-23.5087,75.74,73,40,23.02,scattered clouds
115,Berlevag,NO,70.8578,29.0864,20.35,82,63,15.93,broken clouds
116,Meulaboh,ID,4.1363,96.1285,76.1,86,90,5.44,overcast clouds
117,Alice Springs,AU,-23.7,133.8833,65.75,45,1,4.61,clear sky
118,Carnarvon,AU,-24.8667,113.6333,75.27,46,0,10.36,clear sky
119,Henties Bay,NA,-22.116,14.2845,59.22,85,0,9.1,clear sky
120,Filadelfia,US,39.9523,-75.1638,37.42,48,1,10.36,clear sky
121,Dvorichna,UA,49.8496,37.6857,43.34,97,100,10.74,overcast clouds
122,Hofn,IS,64.2539,-15.2082,36.66,64,94,14.54,overcast clouds
123,Goderich,CA,43.7501,-81.7165,28.72,86,100,6.91,light snow
124,Mankono,CI,8.0586,-6.1897,79.9,46,16,3.74,few clouds
125,Strezhevoy,RU,60.7333,77.5889,31.98,95,100,12.39,light snow
126,Nieuw Nickerie,SR,5.95,-56.9833,80.62,81,86,13.02,overcast clouds
127,Chapais,CA,49.7834,-74.8492,17.38,85,100,14.67,overcast clouds
128,Mount Isa,AU,-20.7333,139.5,78.57,24,0,17.27,clear sky
129,Biala Podlaska,PL,52.0324,23.1165,32.02,84,53,4.79,broken clouds
130,Acaponeta,MX,22.4964,-105.3594,76.33,56,97,3.38,overcast clouds
131,Chaoyang,CN,41.5703,120.4586,34.57,76,100,5.57,overcast clouds
132,Kintampo,GH,8.0563,-1.7306,80.98,48,55,3.8,broken clouds
133,Gamba,GA,-2.65,10.0,75.74,90,100,1.81,overcast clouds
134,Kununurra,AU,-15.7667,128.7333,82.38,74,35,4.61,scattered clouds
135,Pangkalanbuun,ID,-2.6833,111.6167,73.13,99,100,2.48,light rain
136,Hilo,US,19.7297,-155.09,80.33,57,75,5.75,broken clouds
137,North Bend,US,43.4065,-124.2243,62.51,88,90,10.36,overcast clouds
138,Nanortalik,GL,60.1432,-45.2371,42.76,96,100,14.43,moderate rain
139,Cabo San Lucas,MX,22.8909,-109.9124,77.31,69,90,12.66,overcast clouds
140,Lebu,CL,-37.6167,-73.65,55.8,75,1,17.87,clear sky
141,Puerto Colombia,CO,10.9878,-74.9547,80.87,80,32,14.03,scattered clouds
142,Katsuura,JP,35.1333,140.3,46.51,55,0,16.89,clear sky
143,Roebourne,AU,-20.7833,117.1333,84.45,25,7,16.24,clear sky
144,Nishihara,JP,26.1842,127.7558,69.46,60,75,17.27,broken clouds
145,Dikson,RU,73.5069,80.5464,-11.22,97,100,8.81,overcast clouds
146,Porto Santo,PT,33.072,-16.3415,62.51,82,40,14.97,scattered clouds
147,Mangan,IN,27.5167,88.5333,55.31,49,8,6.73,clear sky
148,Grindavik,IS,63.8424,-22.4338,34.27,100,75,3.44,broken clouds
149,Umm Lajj,SA,25.0213,37.2685,78.82,55,0,7.27,clear sky
150,Isangel,VU,-19.55,169.2667,82.51,78,75,11.5,broken clouds
151,Mozarlandia,BR,-14.7447,-50.5706,81.99,64,99,5.93,overcast clouds
152,Aktau,KZ,43.65,51.2,39.78,43,52,13.85,broken clouds
153,Biskamzha,RU,53.4497,89.5272,21.25,93,100,17.22,snow
154,Vila,PT,42.0304,-8.1588,32.88,92,84,6.55,broken clouds
155,Manassas,US,38.751,-77.4753,43.81,39,1,0.0,clear sky
156,Esperance,AU,-33.8667,121.9,60.64,62,1,14.2,clear sky
157,Bara,NG,10.3744,10.7288,75.58,19,58,6.53,broken clouds
158,Iwanai,JP,42.9744,140.5089,34.56,82,88,5.68,overcast clouds
159,Gelemso,ET,8.8167,40.5167,60.42,67,18,3.04,few clouds
160,Te Anau,NZ,-45.4167,167.7167,53.78,65,100,0.56,overcast clouds
161,Mayo,US,38.8876,-76.5119,42.84,36,1,3.44,clear sky
162,Ballina,AU,-28.8667,153.5667,69.98,83,90,16.11,overcast clouds
163,Jvari,GE,42.7169,42.052,50.25,61,100,7.74,overcast clouds
164,Norman Wells,CA,65.282,-126.8329,-18.36,76,20,0.0,few clouds
165,Visnes,NO,59.3556,5.2242,30.09,93,28,4.61,scattered clouds
166,Binzhou,CN,37.3667,118.0167,44.58,75,100,6.53,overcast clouds
167,Marinette,US,45.1,-87.6307,32.49,100,90,5.75,mist
168,Great Yarmouth,GB,52.6083,1.7305,43.05,83,98,29.15,light rain
169,Lubbock,US,33.6001,-101.8338,59.67,76,75,4.61,broken clouds
170,Lloydminster,CA,53.2835,-110.0016,28.62,54,75,5.75,broken clouds
